"Lateral"	"b"	"T"	"Sa.C"	"beta"	"Sa_DBE"	"Sa_MCE"	"med_IDR_DBE"	"med_IDR_MCE"	"P_C_MCE"	"MAF_C"	"beta1"	"beta2"	"pf12_cor0"	"pf12_cor1"
"RCMF_Goul"	38.9	1.32	2.8	0.34	0.0391507137255324	0.207959817056018	0.00100644508291857	0.00534601072123438	1.027440574162e-14	NA	-4.71474561838423	-5.07307870140876	2.36828093016614e-13	1.95715256369841e-07
"RCMF_Pit"	43.49	0.66	1.767	0.3	0.0899448587131335	0.402101279059923	0.0020681733435993	0.0092458330434565	4.01888246904846e-07	NA	-2.94257379148082	-3.92341471141237	7.10417273328127e-08	4.36513402678209e-05
"SCBF_Ak"	62.89	0.46	2.53	0.37	0.13425918835875	0.537668220396451	0.00213482570136349	0.00854934362214105	1.42103885938438e-05	NA	-2.30014299403178	-3.39281857027197	3.70793158796378e-06	0.000345887201816443
"SCBF_Uriz"	45.79	0.5	2.36	0.15	0.122694270687716	0.501614190976027	0.00267949925065988	0.0109546667607781	2.74713028868019e-25	NA	-4.15871988092047	-6.71621218662088	1.49224140646277e-16	9.32545753054401e-12
"SBRB_Uriz"	63.9	0.5	3.07	0.15	0.122694270687716	0.501614190976027	0.0019200981328281	0.00784998733921795	6.95711886884157e-34	NA	-6.38041077901704	-8.93790308471745	1.75123288342688e-29	1.98312349459216e-19
"SBRT_Wong"	33.33	0.94	1.5	0.29	0.0599201518945123	0.305269444488605	0.0017977843352689	0.00915899923458162	2.01259079187482e-08	NA	-3.5271825192857	-4.09124297521169	4.50528308796649e-09	2.14533650512934e-05
"SMF_Lig"	23.86	1.32	1.67	0.39	0.0391507137255324	0.207959817056018	0.00164085137156464	0.00871583474668975	4.60583476594247e-08	NA	-2.85698122127181	-3.16937416544705	1.63343364288488e-06	0.000763837960364388
"SMF_MinW_Tehr"	25.5	0.69	2.01	0.4	0.0856042891142247	0.387424482187303	0.00335703094565587	0.0151931169485217	1.92816822260189e-05	NA	-0.995952440578711	-1.70088722175887	0.00710096973109448	0.0444820832771186
"SMF_Int_Tehr"	30.54	0.69	2.31	0.18	0.0856042891142247	0.387424482187303	0.00280302190943761	0.0126858049177244	1.71502114493384e-23	NA	-3.21522124365328	-4.7817429796092	5.66285404954724e-10	8.68908911859505e-07
"SMF_UnifE_Tehr"	43.15	0.69	3.03	0.3	0.0856042891142247	0.387424482187303	0.00198387692037601	0.0089785511515018	3.54102041836754e-12	NA	-3.08128313865514	-4.02119618022869	2.98362317564931e-08	2.89516778186397e-05
"SPSW_Purba"	47.37	0.36	3.6	0.4	0.174200138520715	0.669787674159296	0.00367743589868514	0.0141394906936731	1.30933588382827e-05	NA	-0.768055424424035	-1.88056435169355	0.00664026554567448	0.0300156024201359
